00100_field1	芙蕾雅
00101_baros	巴洛斯|12
00300_field2	索奇亚
00301_dari	阿卡斯
00302_umi	契约的海道
00400_field3	莎莲娜
00401_friaporos	佛利波罗
00402_field4	莎莲娜
01000_city	法兰城
01011_buki1	希洛克武器店|0
01012_buki2	强盖鲁特武器店|0
01021_bougu1	尼莫克防具店|0
01022_bougu2	哈利防具店|0
01031_acsessry	凯蒂夫人的店|0
01041_magic	达美姊妹的店|0
01051_zaka	强哥杂货店|0
01061_food1	陶欧食品店|0
01062_food2	拿潘食品店|0
01071_matiere-shop	米克尔工房|0
01081_house-agent	房屋仲介所|0
01091_ee	职业介绍所|0
01092_guild	职业公会|0
01101_pab	科特利亚酒吧|0
01102_room	酒吧里面|0
01103	彩卷卖场|0
01104_room	客房|0
01105_room	客房|0
01111_church01	医院|0
01112_church02	医院|0
01121_bank	银行|0
01150_room	葛利玛的家|0
01151_room	艾文蛋糕店|0
01152_room	毕夫鲁的家|0
01153_room	基尔的家|0
01154_bighouse	冒险者旅馆|0
01155_yamahouse	山男的家|0
01156_bety	贝蒂的家|0
01157_room	修理工波利的家|0
01158_room	修理工利贝亚的家|0
01159_room	里玲香料店|0
01160_m	魔女之家|0
01161_room	毕安札的家|0
01162_room	流行商店|0
01164_bighouse2F	冒险者旅馆 2楼|0
01165_crystalsyop	水晶交换所|0
01166_coinkoukan	冒险者旅馆 3楼|0
01170_pab	安其摩酒吧|0
01171_room	酒吧里面|0
01172_room	客房|0
01174	彩券卖场|0
01180_room	宠物店|0
01181_room	弓箭手公会|0
01182_room	民家|0
01183_bigroom	旅馆|0
01184_bigroom	旅馆2楼|0
01185_room	希利布的家|0
01186_room	民家|0
01187_bigroom	公寓|0
01188_bigroom	公寓2楼|0
01189_room	美容院|0
01190_room	民家|0
01191_room	研究家真中的家|0
01192_room	民家|0
01193_bigroom	豪宅|0
01194_bigroom	豪宅|0
01195_food	王宫食堂|0
01201_genkan	大圣堂的入口|0
01202_rehaidou	礼拜堂|0
01203_cikakaidan	通往地下楼梯的房间|0
01204_souko	地下仓库|0
01205_hikae	后台|0
01206_gesuto	2楼客房|0
01207_guildmaster	大圣堂里面|0
01208_skillmaster	大圣堂里面|0
01301_theater	剧院 1楼|0
01302_theater	剧院 2楼|0
01303_theater	往后台的走廊|0
01304_theater	后台|0
01305_theater	后台|0
01400_genkan	竞技场的入口|0
01401_hall	中央大厅|0
01402_hikae	后台|0
01403_shop	治愈的广场|0
01404_hikae	休息室|0
01405_meiro	竞技场的迷宫|0
01406_1st	第一名的房间|0
01407_2nd	第二名的房间|0
01408_3rd	第三名的房间|0
01409_4th	第四名的房间|0
01410_5th	第五名的房间|0
01411_other	第六名以后的房间|0
01412_meiro	竞技场的迷宫|0
01413_meiro	竞技场的迷宫|0
01420_sugo6	升官图房间2|0
01421_sugo6	升官图房间2|0
01422_sugo6	升官图|0
01423_sugo6	升官图导览间|0
01424_sugo6	升官图走廊|0
01450_ura	竞技场|0
01451_ura	竞技场|0
01452_ura	竞技场|0
01453_ura	竞技场|0
01454_ura	竞技场|0
01455_ura	竞技场|0
01456_ura	休息室|0
01457_ura	竞技预赛会场|0
01458_ura	竞技场|0
01459_ura	竞技场|0
01460_ura	竞技场|0
01461_ura	竞技场|0
01462_ura	竞技场|0
01463_ura	竞技场|0
01464_ura	竞技场|0
01465_ura	竞技场|0
01466_ura	竞技场|0
01467_ura	竞技场|0
01468_ura	竞技场|0
01469_ura	竞技场|0
01470_ura	竞技场|0
01471_ura	竞技场|0
01472_ura	竞技场|0
01473_ura	竞技场|0
01474_ura	竞技场|0
01475_ura	竞技场|0
01476_ura	竞技场|0
01477_ura	竞技场|0
01478_ura	竞技场|0
01479_ura	竞技场|0
01480_ura	竞技场|0
01481_ura	竞技场|0
01482_ura	休息室|0
01483_ura	休息室|0
01483_ura	休息室|0
01484_ura	休息室|0
01485_ura	休息室|0
01486_ura	休息室|0
01487_ura	休息室|0
01488_ura	休息室|0
01489_ura	休息室|0
01490_ura	休息室|0
01491_ura	休息室|0
01492_ura	休息室|0
01493_ura	休息室|0
01494_ura	休息室|0
01495_ura	休息室|0
01496_ura	休息室|0
01500_court	里谢里雅堡
01502_Cuisine	厨房|0
01504_Depository	图书室|0
01506_Dining_Hall	食堂|0
01507_guest_room	客房|0
01508_guest_room2	客房|0
01509_guest_room3	客房|0
01510_guest_room4	客房|0
01511_Durbar_Room	谒见之间|0
01512_Bedroom	寝室|0
01518_rouka6	走廊|0
01520_castle1	里谢里雅堡 1楼|0
01521_castle2	里谢里雅堡 2楼|0
01522_castle3	启程之间|0
01530_birthplace-01	召唤之间|5
01531_tutor1	回廊|5
01533_birthplace-02	召唤之间|5
01534_birthplace-03	召唤之间|5
01535_birthplace-04	召唤之间|5
01536_birthplace-05	召唤之间|5
01537_birthplace-06	召唤之间|5
01538_tutor3	封印之间|5
01539_monsterroom	宠物管理处|0
01540_robi	中型屋|0
01541_robi	豪华屋|0
01542_robi	国民屋|0
01800_room	空屋出租|0
01801_room	空屋出租|0
01802_room	空屋出租|0
01803_room	空屋出租|0
01804_room	空屋出租|0
01805_room	空屋出租|0
01806_room	空屋出租|0
01807_room	空屋出租|0
01808_room	空屋出租|0
01809_room	空屋出租|0
01810_room	饲养师之家|0
01811_room	别室|0
01850_apartment_A	公寓|0
01860_apartment_B	公寓|0
01870_apartment_C	公寓|0
02000_eel	伊尔村
02001_bukibougu	装备店|0
02002_pub	旧金山|0
02010_hos	医院|0
02012_sontyo	村长的家|0
02013_room	泰勒的家|0
02014_room	巴侬的家|0
02099_gateroom	伊尔村的传送点|0
02100_willnoa	维诺亚村
02101_soubi	装备品店|0
02110_hos	医院|0
02111_hos	医院2楼|0
02112_sonntyo	村长的家|0
02113_room	村长的家|0
02120_room	荷特尔咖哩店|0
02121_room	民家|0
02198_smallroom	村长家的小房间|0
02199_gateroom	维诺亚村的传送点|0
02200_ukrum	乌克兰
02201_zakka	杂货店|0
02202_zakka2f	杂货店 2楼|0
02211_hos	医院|0
02212_sontyo	村长的家|0
02213_kura	族长的家地下室|12
02214_kura	族长的家地下室|12
02215_tika	地下室|12
02216_kura	族长的家地下室|12
02220_room	民家|0
02221_room	梅兹的家|0
02223_room	小助的家|0
02224_room	小助的家|0
02225_room	小助的家|0
02226_room	小助的家|0
02250_jinbatiroom	小助的家|0
02251_mondairoom	小助的家|0
02252_mondaiiroom	小助的家|0
02253_mondairoom	小助的家|0
02254_mondairoom	小助的家|0
02255_mondairoom	小助的家|0
02256_mondairoom	小助的家|0
02257_mondairoom	小助的家|0
02258_mondairoom	小助的家|0
02259_mondairoom	小助的家|0
02260_mondairoom	小助的家|0
02300_seraluca	圣拉鲁卡村
02301_soubi	装备品店|0
02302_room	1楼小房间|0
02303_tikaroom	地下工房|0
02306_syokuryo	食品店|0
02307_sozai	原料店|0
02308_bar	赛杰利亚酒吧|0
02309_bar	赛杰利亚酒吧|0
02310_hos	医院|0
02311_hos	医院 2楼|0
02312_sontyo	村长的家|0
02313_sontyo	村长的家 2楼|0
02320_room	民家|0
02399_gateroom	圣拉鲁卡村的传送点|0
02400_aryurt	亚留特村
02401_soubi	杂货店|0
02410_hos	医院|0
02412_sonntyo	村长的家|0
02420_room	民家|0
02421_room	南希的家|0
02431_clubmoon	月亮俱乐部|1
02432_tuuro	地下通路|2
02433_hikae	珍妮专用休息室|1
02499_gateroom	亚留特村的传送点|0
02800_room	民家|0
02801_room	民家|0
02802_room	民家|0
02803_room	民家|0
02804_room	民家|0
02805_room	民家|0
02806_room	民家|0
02807_room	民家|0
02808_room	民家|0
03000_garuna	加纳村
03001_soubi	装备品店|0
03002_acse	杂货店|0
03008_bar	酒吧|0
03010_kyoukai	医院|0
03012_sontyo	村长的家|0
03013_soroom	村长的家|0
03014_soroom	村长的家|0
03020_room	考古学者之家|0
03021_room	传承者之家|0
03099_gateroom	加纳村的传送点|0
03100_harbell	哈贝鲁村|0
03200_kiri	奇利村
03201_soubi	装备品店|0
03202_acse	杂货店|0
03208_pub	酒吧|0
03210_hos	医院|0
03212_sontyo	村长的家|0
03213_soroom	村长的家|0
03214_soroom	村长的家|0
03220_room	民家|0
03221_room	老夫妇的家|0
03299_gateroom	奇利村的传送点|0
03300_harbelground	没落的村庄
03301_monolithroom	连接时空的房间|2
03350_shrman	冯奴的家|0
03351_shrman	冯奴的家|0
03352_syrman	冯奴的家|0
03353_syrman	冯奴的家|0
03354_shrman	冯奴的家|0
03355_haberu	砂尘洞穴|12
03801_room	民家|0
03802_room	民家|0
03803_room	民家|0
03804_room	民家|0
03805_room	民家|0
03806_room	民家|0
03807_room	民家|0
04000_jenova	杰诺瓦镇
04001_acse	杂货店|0
04002_bukibougu	装备品店|0
04008_pub	酒吧|0
04009_pub	酒吧的地下室|0
04010_hos	医院|0
04011_hps	医院2楼|0
