#种类	RANK	数值	TEXT
#满腹度			
0	0	20	饿死しそう
0	21	40	腹减った
0	41	60	
0	61	90	腹八分目
0	91	100	腹いっぱい
#?性：１地２水３火４风			
1	1	1	地に足がいた。
1	1	2	泥っぽい。
1	1	3	焦土の香り。
1	1	4	大地にそよぐ。
1	2	1	沼地风。
1	2	2	流れるが如く。
1	2	3	消化み。
1	2	4	暴风雨。
1	3	1	热砂の手触り。
1	3	2	热汤しぶく。
1	3	3	炎燃ゆ。
1	3	4	热波到?。
1	4	1	风土に根付く。
1	4	2	吉凶が解る。
1	4	3	焦げ臭い。
1	4	4	吹き荒ぶ。
#男好き女好き			
2	-127	-120	女好き
2	-119	-43	
2	-42	0	
2	1	42	
2	43	120	
2	121	127	男色家
#ルックス			
3	-127	-120	かっこい
3	-119	-43	
3	-42	0	
3	1	42	イカしてる。
3	43	120	
3	121	127	美の化身。
#性格良しし			
4	-127	-120	の华
4	-119	-43	
4	-42	0	平凡
4	1	42	凡庸
4	43	120	
4	121	127	善意の块
#头のよさ			
5	-127	-120	头いかも
5	-119	-43	暗算苦手
5	-42	0	
5	1	42	
5	43	120	小贤しい
5	121	127	天才现る
#PC好かれ度			
6	-127	-120	大嫌い
6	-119	-43	はなしかけないで
6	-42	0	寄ってこないで
6	1	42	嫌いじゃない
6	43	120	仲良し
6	121	127	好き好き
#体?时计起きてから?るまでの何%目か。			
7	0	20	よく?た。
7	21	40	
7	41	60	活动中
7	61	80	
7	81	100	眠い。
#ランダム	表示される确率		
8	30	30	いい汤だな。
8	30	30	あははん？
8	30	30	背中が痒い
8	30	30	深爪した。
8	30	30	低血
