# 最大满腹度	LV	对应满腹度	活动时间（秒）	睡眠时间（秒）	满腹度上升率	肚子饿指数（％）	最爱食物个数	逃亡计数	好感度减少?	成长之后所必需的年龄	非成长时的逃亡年龄	需要满腹度	需要超爱食物摄取量	判定成长阶段号码
# 卵														
100	-1	2	0	1800	0	0	0	255	0	7	7	0	0	4
# 家族兽?小１														
300	5	300	1800	1800	10	1	4	500	10	24	120	200	60	1
# 家族兽?小２														
600	10	600	3600	1800	10	1	3	500	10	42	160	500	90	0
# 茧（中）														
600	-1	2	0	1800	0	0	0	255	0	10	10	0	0	2
# 家族兽?中														
1500	50	1500	7200	1800	8	1	2	500	10	100	300	1200	130	0
# 茧（大）														
1500	-1	2	0	1800	0	0	0	255	0	8	8	0	0	2
# 家族兽?大														
3000	80	3000	12600	1800	8	1	1	500	10	365000	300	2200	180	3
