#种类	RANK	数值	TEXT
#满腹度			
0	0	20	快饿死了
0	21	40	肚子饿了
0	41	60	肚子有点饿
0	61	90	肚子八分饱
0	91	100	肚子很饱
#属性：１地２水３火４风			
1	1	1	脚踏实地
1	1	2	泥水交融
1	1	3	焦土的香味
1	1	4	吹拂大地
1	2	1	沼地风
1	2	2	状如流水
1	2	3	灭火完成
1	2	4	狂风暴雨
1	3	1	炙热砂场
1	3	2	沸腾热汤
1	3	3	炙热燃烧
1	3	4	热浪来袭
1	4	1	落地生根
1	4	2	化解吉凶
1	4	3	烧焦臭味
1	4	4	狂风吹袭
#喜欢男或喜欢女			
2	-128	-120	恋女狂
2	-119	-43	喜欢女性
2	-42	0	
2	1	42	男生比较好
2	43	120	亲近男性
2	121	128	恋男僻
#外表			
3	-128	-120	丑死了
3	-119	-43	很丑
3	-42	0	
3	1	42	很帅
3	43	120	模特儿模样
3	121	128	美的化身
#脾气好不好
4	-128	-120	恶之华
4	-119	-43	小淘气
4	-42	0	平凡
4	1	42	普通
4	43	120	好人
4	121	128	善之魂
#头脑聪明度			
5	-128	-120	头脑不灵光
5	-119	-43	算数不好
5	-42	0	
5	1	42	
5	43	120	小聪明
5	121	128	天才再现
#对玩家的好感度			
6	-128	-120	很讨厌
6	-119	-43	不想说话
6	-42	0	不喜欢也不讨厌
6	1	42	不讨厌
6	43	120	好朋友
6	121	128	很喜欢
#体内时钟计算，从起床到睡觉的多少%			
7	0	20	睡得很熟
7	21	40	
7	41	60	活动中
7	61	80	
7	81	100	想睡觉
#随机	显现出来的机率		
8	5	1	洗澡真舒服
8	5	1	啊哈哈
8	5	1	背上在痒
8	5	1	张张爪子
8	5	1	低血压
8	5	1	小指撞伤了
8	5	1	有点干瘪瘪的
8	5	1	工作狂
8	5	1	有点发烧
8	5	1	吽啾～
8	5	1	呣啾～
8	5	1	呶啾～
8	5	1	噜噜噜～
8	5	1	啰啰啰～
8	5	1	噗啰啰啰～
8	5	1	啪啾～
8	5	1	姆咕～
8	5	1	咕咕～
8	5	1	开心吗？
8	5	1	蹦蹦跳跳
8	5	1	忐忑不安
8	5	1	呼呼
8	5	1	唔呼呼
8	5	1	啊哈哈
8	5	1	呣呼呼
8	5	1	踱步走
8	1	1	黄色专家
8	5	1	疲劳度增加
8	5	1	人生海海
8	5	1	个性早熟
8	5	1	还好吗？
8	5	1	还行吗？
8	5	1	这样好吗？
8	5	1	希望能变身
8	5	1	对，就是这样
8	5	1	轻松、悠闲
8	5	1	舒服～
8	5	2	有点变深了
8	5	2	呀！
8	5	2	嘟嘟囔囔的
8	5	2	毛茸茸
8	5	2	绕圈圈
8	5	2	长肌肉
8	5	2	长赘肉
8	5	2	该减肥了
8	5	2	颜色变深了
8	5	2	唔呼唔呼唔呼
8	5	2	毛色变深了
