#ItemID:道具ID	HeadImageID:显示的图档ID
18195	21503
607700	114170
607701	114171
607702	114172
607703	114173
607704	114174
607705	114175
607706	114176
607707	114177
607708	114178
607709	114179
607710	114180
607711	114181
607712	114182
607713	114183
607714	114184
607715	114185
607716	114186
607717	114187
607718	114188
607719	114189
607720	114190
607721	114191
607722	114192
607723	114193
607724	114194
607725	114195
607726	114196
607727	114197
607728	114198
607729	114199
607730	114200
607731	114201
607732	114202
607733	114203
607734	114204
607735	114205
607736	114206
607737	114207
607738	114208
607739	114209
607740	114210
607741	114211
607742	114212
607743	114213
607744	114214
607745	114215
607746	114216
607747	114217
607748	114218
607749	114219
607750	114220
607751	114221
607752	114222
607753	114223
607754	114224
650100	114206
650101	114196
650102	114173
650103	114174
650104	114208
650105	114189
650106	114190
650107	114191
650108	114192
650109	114193
650110	114177
650111	114185
650112	114186
650113	114187
650114	114188
650115	114207
650116	114204
650117	114175
650118	114197
650119	114184
650120	114181
650121	114182
650122	114202
650123	114180
650124	114203
650125	114210
650126	114178
650127	114195
