	DUMY		
WARP	Warp	F_WARP	
HEALER	Healer	F_HEALER	
JOBSMASTER	Jobsmaster	F_JOBSMASTER	
SKILLMASTER	Skillmaster	F_SKILLMASTER	
TOWNPEOPLE	TownPeople		
BOLTAC	Boltac		
ITEMSHOP	Itemshop		
STANDENEMY	StandEnemy	F_REN	
BOSSBOX	BossBox		
PILOT	Pilot	F_PILOT	
SIMPLETRADE	SimpleTrade	F_SIMPLETRADE	
EVENT	Event		
WINDOWMAN	Windowman		
MINEMASTER	MineMaster		
ITEMSHOP2	Itemshop2	F_ITEMSHOP2	
WINDOWHEALER	Windowhealer		
INJURYDOCTOR	Injurydoctor		
DENGON	Dengon		
HOUSEMASTER	HouseMaster	F_HOUSEMASTER	
HOUSEWARP	HouseWarp	F_HOUSEWARP	
JUDGEMAN	Judgeman		
REPAIRMAN	Repairman		
BANKMAN	Bankman		
BILLBOARD	Billboard		
TECHSHOP	Techshop		
QUIZ	Quiz	F_QUIZ	
TITLEMAN	Titleman		
SPIRITMAN	Spiritman		
BRUSHMAN	Brushman		
DUELRANKING	DuelRanking		
TIMECARD	Timecard	F_TIMECARD	
GOLDRANKING	GoldRanking		
DISEMPLOYMENT	disemployment	F_DISEMPLOYMENT	
CHARM	Charm	F_CHARM	
MIC	Mic	F_MIC	
PETSHOP	Petshop	F_PETSHOP	
EQUIPMAN	Equipman		
WINDOWHEALER2	Windowhealer2		
HOUSEWARP2	HouseWarp2	F_HOUSEWARP2	
DUST	Dust	F_DUSTBOX	
WATCHEVENT	WatchEvent		
ITEMCOUNT	ItemCount		
